actual_cost,date,items,quantity
0,2016-07-01,0,0
0,2016-08-01,0,0
0,2016-09-01,0,0
0,2016-10-01,0,0
0,2016-11-01,0,0
0,2016-12-01,0,0
0,2017-01-01,0,0
55.53,2017-02-01,3,168
1674,2017-03-01,89,5065
5412.26,2017-04-01,315,16332
11389.25,2017-05-01,707,34385
19942.23,2017-06-01,1161,60295
37876.58,2017-07-01,2146,114540
49613.48,2017-08-01,2823,149868
46721.49,2017-09-01,2680,141214
39819.14,2017-10-01,2255,120476
34174.27,2017-11-01,1930,103213
27557.22,2017-12-01,1511,83215
26417.19,2018-01-01,1428,79763
21804.49,2018-02-01,1172,65748
20243.5,2018-03-01,1124,61089
13401.38,2018-04-01,762,40410
8577.97,2018-05-01,484,25871
5302.69,2018-06-01,294,15984
4868.27,2018-07-01,263,14669
3626.81,2018-08-01,197,10941
2659.64,2018-09-01,142,8022
3011.89,2018-10-01,155,9100
2954.42,2018-11-01,152,8923
3437,2018-12-01,186,10374
3606.54,2019-01-01,196,10885
2211,2019-02-01,114,6669
2081.81,2019-03-01,118,6274
1552.48,2019-04-01,88,4677
1492.11,2019-05-01,71,4501
1410.66,2019-06-01,69,4252
1716.14,2019-07-01,85,5173
2406.31,2019-08-01,114,7264
1922.93,2019-09-01,103,5802
2153.73,2019-10-01,106,6501
2040.9,2019-11-01,104,6154
2286.14,2019-12-01,113,6893
1890.47,2020-01-01,102,5698
1785.9,2020-02-01,93,5376
2159.35,2020-03-01,110,6515
2003.74,2020-04-01,99,6043
1930.85,2020-05-01,90,5824
2541.73,2020-06-01,112,7673
2336.93,2020-07-01,96,7056
2358.61,2020-08-01,104,7114
1666.93,2020-09-01,81,5033
1432.02,2020-10-01,69,4326
1086.65,2020-11-01,52,3276
770.42,2020-12-01,40,2324
1137.08,2021-01-01,50,3426
1361.12,2021-02-01,67,4098
1616.6,2021-03-01,79,4873
2347.13,2021-04-01,106,7068
1645.09,2021-05-01,84,4952
1171.07,2021-06-01,71,3528
