actual_cost,date,items,quantity
1466747.73,2016-05-01,24974,1376734
1549215.09,2016-06-01,26239,1452753
1504777.31,2016-07-01,25508,1411182
1520862.82,2016-08-01,25950,1426409
1553593.22,2016-09-01,26292,1457632
1488736.99,2016-10-01,25294,1397478
1505702.81,2016-11-01,25765,1412429
1532485.88,2016-12-01,26013,1438457
1429870.58,2017-01-01,24192,1340564
1291891.6,2017-02-01,22024,1210630
1455952.85,2017-03-01,24784,1366311
1254919.91,2017-04-01,21476,1176291
1358574.05,2017-05-01,23092,1274465
1326029.56,2017-06-01,22550,1245071
1108605.39,2017-07-01,19019,1040955
663019.91,2017-08-01,11576,621889
412962.48,2017-09-01,7163,387541
313664.23,2017-10-01,5357,294632
241473.21,2017-11-01,4096,226516
195509.62,2017-12-01,3223,183334
166138.55,2018-01-01,2781,155746
127708.89,2018-02-01,2078,119565
133500.53,2018-03-01,2148,125087
121616.71,2018-04-01,1884,113814
112126.87,2018-05-01,1804,105014
107531.5,2018-06-01,1688,100667
102816.83,2018-07-01,1637,96195
100354.33,2018-08-01,1586,93989
87976.5,2018-09-01,1377,82381
94802.02,2018-10-01,1486,88868
83602.56,2018-11-01,1317,78300
81463.87,2018-12-01,1267,76265
79793.49,2019-01-01,1236,74701
63692.94,2019-02-01,1001,59597
65000.88,2019-03-01,999,60796
62652.94,2019-04-01,993,58594
66961.74,2019-05-01,1010,62660
56292.38,2019-06-01,855,52640
57856.87,2019-07-01,853,54090
57903.17,2019-08-01,874,54200
54290.12,2019-09-01,819,50812
51769.05,2019-10-01,803,48449
51398.15,2019-11-01,756,48063
49442.39,2019-12-01,743,46226
49987.62,2020-01-01,744,46720
43248.8,2020-02-01,653,40376
51084.66,2020-03-01,714,47794
46432.07,2020-04-01,681,43407
46851.17,2020-05-01,685,43805
43713.89,2020-06-01,657,40890
46720.34,2020-07-01,702,43708
42905.72,2020-08-01,622,40101
43836.77,2020-09-01,663,41020
45858.04,2020-10-01,662,42931
41807.08,2020-11-01,614,39057
45059.51,2020-12-01,678,42105
42833.67,2021-01-01,643,39993
43059.91,2021-02-01,631,40176
45421.47,2021-03-01,679,42418
51794.59,2021-04-01,772,48326
