actual_cost,date,items,quantity
475235.52,2016-07-01,8521,445276
484468.26,2016-08-01,8751,453962
488948.73,2016-09-01,8795,458406
481181.95,2016-10-01,8601,451364
486460.21,2016-11-01,8774,455975
507150.76,2016-12-01,9035,475660
463487.62,2017-01-01,8313,434173
419136.82,2017-02-01,7489,392507
467018.23,2017-03-01,8316,438021
420163.62,2017-04-01,7530,393559
445419.3,2017-05-01,7922,417573
436152.96,2017-06-01,7757,409239
375177.93,2017-07-01,6653,352058
222763.97,2017-08-01,4093,208792
137406.41,2017-09-01,2470,128886
106164.48,2017-10-01,1995,99672
82632.99,2017-11-01,1573,77455
71522.41,2017-12-01,1335,67016
62739.54,2018-01-01,1160,58772
50223.23,2018-02-01,959,46981
55877.58,2018-03-01,1009,52318
47295.81,2018-04-01,899,44246
46117.66,2018-05-01,844,43160
45142.27,2018-06-01,812,42230
42854.24,2018-07-01,766,40068
42205.88,2018-08-01,750,39502
37419.64,2018-09-01,658,35016
36509.79,2018-10-01,626,34204
36529.78,2018-11-01,638,34191
35675.41,2018-12-01,614,33377
32972.52,2019-01-01,629,30843
27949.57,2019-02-01,496,26135
26451.72,2019-03-01,460,24725
26443.41,2019-04-01,457,24716
28445.15,2019-05-01,469,26601
25243.76,2019-06-01,431,23589
26893.34,2019-07-01,442,25126
27252,2019-08-01,427,25494
25481.69,2019-09-01,400,23837
26063.07,2019-10-01,417,24378
24489,2019-11-01,385,22887
23985.76,2019-12-01,385,22412
25439.35,2020-01-01,399,23764
22565.63,2020-02-01,369,21055
24375.85,2020-03-01,374,22793
23401.33,2020-04-01,377,21865
20235.43,2020-05-01,335,18907
24265.94,2020-06-01,385,22687
23881.05,2020-07-01,370,22331
21612.22,2020-08-01,340,20189
22936.84,2020-09-01,363,21453
24911.53,2020-10-01,391,23309
21095.41,2020-11-01,336,19698
24342.94,2020-12-01,375,22737
21377.67,2021-01-01,346,19949
22218.32,2021-02-01,352,20719
22628.48,2021-03-01,375,21120
22315.55,2021-04-01,361,20809
22423.88,2021-05-01,355,20903
22842.32,2021-06-01,382,21303
