actual_cost,date,items,quantity
2351154.9,2016-07-01,40921,2203412
2383647.91,2016-08-01,41584,2234128
2371255.41,2016-09-01,41332,2223358
2292029.36,2016-10-01,40046,2150207
2357238.7,2016-11-01,41286,2209730
2358901.16,2016-12-01,41022,2212679
2218366.92,2017-01-01,39114,2078629
2046088.79,2017-02-01,35848,1916295
2348538.1,2017-03-01,40928,2202999
2068093.32,2017-04-01,36085,1937410
2227205.51,2017-05-01,38689,2088293
2231137.41,2017-06-01,38605,2094163
2222370.67,2017-07-01,38492,2085767
573073.64,2017-08-01,46910,2557105
383330.43,2017-09-01,52439,2888920
422891.86,2017-10-01,58518,3196595
442549.16,2017-11-01,62048,3391510
216887.73,2017-12-01,63338,3460770
178297.01,2018-01-01,66800,3632472
230286,2018-02-01,61588,3355138
214534.37,2018-03-01,70057,3832796
377309.8,2018-04-01,69104,3772681
404922.22,2018-05-01,74196,4053824
404543.87,2018-06-01,74028,4054080
260261.87,2018-07-01,76297,4170468
308332.58,2018-08-01,79116,4315846
294365.24,2018-09-01,74746,4104219
251376.56,2018-10-01,83834,4589541
219820.02,2018-11-01,82805,4533855
219276.74,2018-12-01,81930,4514429
231552.01,2019-01-01,86586,4786520
197737.55,2019-02-01,74970,4108967
216311.24,2019-03-01,81454,4508078
181686.16,2019-04-01,81586,4486582
194707.42,2019-05-01,87072,4812350
179899.07,2019-06-01,80687,4468341
180323.59,2019-07-01,84504,4658737
211919.79,2019-08-01,89063,4939145
201246.42,2019-09-01,84624,4693161
196651.6,2019-10-01,90755,5044664
188070.55,2019-11-01,87363,4845515
193431.18,2019-12-01,89773,4985942
188317.61,2020-01-01,92210,5150560
172242.08,2020-02-01,85011,4732579
196347.47,2020-03-01,95182,5375622
181252.27,2020-04-01,92352,5153961
173633.23,2020-05-01,88318,4968485
201686.48,2020-06-01,92992,5216504
201502.13,2020-07-01,97225,5468041
182263.7,2020-08-01,88675,4974751
194423.44,2020-09-01,96133,5386498
181590.77,2020-10-01,98016,5511605
174580.83,2020-11-01,94519,5316475
191946.02,2020-12-01,103030,5808886
354665.27,2021-01-01,96525,5450130
334970.14,2021-02-01,91504,5141997
325805.7,2021-03-01,99986,5573834
394563.57,2021-04-01,97858,5510199
411251.99,2021-05-01,95667,5409298
422683.37,2021-06-01,103917,5886573
