actual_cost,date,items,quantity
11288.52,2016-07-01,406,15101
13789.94,2016-08-01,493,18449
14550.87,2016-09-01,519,19474
19117.17,2016-10-01,658,25603
21069.82,2016-11-01,858,32887
28065.7,2016-12-01,1169,43827
34761.15,2017-01-01,1398,54234
40992.74,2017-02-01,1626,63927
52804.88,2017-03-01,2117,82476
58700.06,2017-04-01,2268,91577
68851.41,2017-05-01,2716,107499
49208.4,2017-06-01,3045,118658
52402.73,2017-07-01,3251,126590
44680.83,2017-08-01,2841,107850
34898.88,2017-09-01,2185,84310
12455.56,2017-10-01,1939,74947
9775.13,2017-11-01,1575,58788
8926.03,2017-12-01,1409,53097
7638.45,2018-01-01,1240,45153
5706.05,2018-02-01,908,33374
5313.51,2018-03-01,873,31910
4425.27,2018-04-01,694,26578
3642.76,2018-05-01,610,21863
3164.44,2018-06-01,530,18978
2915.89,2018-07-01,495,17480
2657.32,2018-08-01,469,15929
2192.76,2018-09-01,373,13151
1950.23,2018-10-01,352,11696
1612.27,2018-11-01,341,12009
1412.35,2018-12-01,291,10523
1232.96,2019-01-01,265,9179
1125.44,2019-02-01,244,8377
1142.43,2019-03-01,235,8513
1012,2019-04-01,207,7538
1060.51,2019-05-01,225,7898
802.98,2019-06-01,170,5975
750.96,2019-07-01,167,5579
707.26,2019-08-01,160,5261
536.52,2019-09-01,121,3986
520.82,2019-10-01,122,3868
513.08,2019-11-01,112,3816
459.01,2019-12-01,93,3419
509.23,2020-01-01,120,3776
382.18,2020-02-01,95,2826
392.64,2020-03-01,99,2909
396.26,2020-04-01,101,2936
372.4,2020-05-01,95,2760
374.36,2020-06-01,94,2776
352.75,2020-07-01,93,2614
290.2,2020-08-01,81,2144
308.07,2020-09-01,89,2279
339.93,2020-10-01,93,2515
323.35,2020-11-01,87,2393
377.25,2020-12-01,72,2814
305.52,2021-01-01,57,2282
283.17,2021-02-01,54,2114
295.01,2021-03-01,60,2198
303.74,2021-04-01,56,2268
255.02,2021-05-01,48,1904
281.27,2021-06-01,54,2100
