actual_cost,date,items,quantity
0,2016-07-01,0,0
0,2016-08-01,0,0
0,2016-09-01,0,0
0,2016-10-01,0,0
0,2016-11-01,0,0
0,2016-12-01,0,0
0,2017-01-01,0,0
101.89,2017-02-01,4,308
949.35,2017-03-01,68,2864
5138.89,2017-04-01,325,15500
9791.95,2017-05-01,664,29545
17170.17,2017-06-01,1024,51915
31792.5,2017-07-01,1907,96110
41517.47,2017-08-01,2416,125383
38367.76,2017-09-01,2289,115934
29221.16,2017-10-01,1749,88397
27491.32,2017-11-01,1546,83052
23093.35,2017-12-01,1282,69747
21427.23,2018-01-01,1135,64726
17866.89,2018-02-01,978,53884
18594.37,2018-03-01,967,56131
13995.12,2018-04-01,774,42205
10936.49,2018-05-01,613,32991
9538.86,2018-06-01,504,28770
7795.19,2018-07-01,408,23505
6966.87,2018-08-01,350,21037
5394.71,2018-09-01,275,16288
4554.04,2018-10-01,245,13766
4535.99,2018-11-01,244,13695
3422.84,2018-12-01,197,10329
2416.73,2019-01-01,139,7291
1775.2,2019-02-01,107,5353
1527.07,2019-03-01,90,4603
1697.61,2019-04-01,95,5117
1125.01,2019-05-01,62,3395
1253.07,2019-06-01,56,3779
1642.28,2019-07-01,81,4953
1384.34,2019-08-01,73,4179
1516.37,2019-09-01,81,4578
1407.19,2019-10-01,73,4249
1391.66,2019-11-01,70,4200
1530.88,2019-12-01,75,4620
1227.75,2020-01-01,59,3703
1365.72,2020-02-01,61,4116
1455.89,2020-03-01,70,4396
1600.48,2020-04-01,73,4830
1298.93,2020-05-01,60,3920
1066.52,2020-06-01,51,3220
778.78,2020-07-01,36,2352
464.19,2020-08-01,23,1400
352.64,2020-09-01,21,1065
400.78,2020-10-01,27,1211
301.63,2020-11-01,21,910
329.45,2020-12-01,18,994
522.3,2021-01-01,25,1575
712.25,2021-02-01,30,2146
927.07,2021-03-01,39,2796
981.23,2021-04-01,48,2956
943.45,2021-05-01,47,2841
1288.28,2021-06-01,59,3882
