actual_cost,date,items,quantity
351783.97,2016-07-01,7473,329828
356014.61,2016-08-01,7674,333807
360115.17,2016-09-01,7771,337794
347950.36,2016-10-01,7448,326572
359434.72,2016-11-01,7644,337101
362901.5,2016-12-01,7742,340558
337889.1,2017-01-01,7324,316691
310219.41,2017-02-01,6708,290663
345949.55,2017-03-01,7562,324638
305534.17,2017-04-01,6696,286325
317645.34,2017-05-01,6950,297944
317135,2017-06-01,6882,297766
315670.83,2017-07-01,6830,296370
89694.64,2017-08-01,8870,387773
64452.68,2017-09-01,9729,425361
71815.72,2017-10-01,10956,476452
30028.55,2017-11-01,11609,504117
31321,2017-12-01,11899,519608
55769.97,2018-01-01,12484,542054
47346.64,2018-02-01,11349,491652
49110.56,2018-03-01,12834,554511
48390.75,2018-04-01,12496,535049
51237.44,2018-05-01,13325,567280
49729.3,2018-06-01,12920,552747
38590.43,2018-07-01,13266,561997
45708.33,2018-08-01,13883,585058
42981.62,2018-09-01,13025,546494
40246.11,2018-10-01,14192,595453
35178.67,2018-11-01,13921,583317
35292.88,2018-12-01,13771,577600
37136,2019-01-01,13954,586875
32089.75,2019-02-01,12136,506558
35646.26,2019-03-01,13444,558965
38476.27,2019-04-01,13619,557375
40992.5,2019-05-01,14371,594489
37855.91,2019-06-01,13324,550862
36865.38,2019-07-01,13828,570168
44071.71,2019-08-01,14801,607469
40796.32,2019-09-01,13841,564045
43628.93,2019-10-01,14829,606956
41360.82,2019-11-01,14040,576890
42165.09,2019-12-01,14277,584891
42599.29,2020-01-01,14668,602232
38743.46,2020-02-01,13332,544723
43442.88,2020-03-01,14753,610690
38762.17,2020-04-01,14338,591274
37319.31,2020-05-01,13660,566642
42620.29,2020-06-01,14213,582902
40473.42,2020-07-01,14673,599207
36392.42,2020-08-01,13276,544244
38963.97,2020-09-01,14143,580877
35093.8,2020-10-01,14200,581272
33609.87,2020-11-01,13507,551910
36487.92,2020-12-01,14671,600947
32316.51,2021-01-01,13566,554806
30748.32,2021-02-01,12735,522703
34024.74,2021-03-01,14216,581567
31382.28,2021-04-01,13775,558364
30363.27,2021-05-01,13182,539063
31724.4,2021-06-01,13851,562868
