actual_cost,date,items,quantity
0,2016-07-01,0,0
0,2016-08-01,0,0
0,2016-09-01,0,0
0,2016-10-01,0,0
0,2016-11-01,0,0
0,2016-12-01,0,0
0,2017-01-01,0,0
0,2017-02-01,0,0
1353.55,2017-03-01,93,4091
6606.99,2017-04-01,489,19929
12975.87,2017-05-01,998,39145
23190.69,2017-06-01,1723,70069
41605.38,2017-07-01,3002,125723
56162.75,2017-08-01,4140,169499
51977.89,2017-09-01,3884,156950
41624.65,2017-10-01,3086,125836
35808.34,2017-11-01,2568,108116
29494.95,2017-12-01,2097,89020
27358.68,2018-01-01,1980,82547
23764.68,2018-02-01,1629,71637
21227.21,2018-03-01,1468,64041
17388.53,2018-04-01,1171,52436
14079.94,2018-05-01,971,42469
10530.27,2018-06-01,705,31765
9578.66,2018-07-01,645,28885
8426.75,2018-08-01,590,25431
6263.69,2018-09-01,413,18907
5965.84,2018-10-01,406,18032
5559.78,2018-11-01,349,16793
4916.47,2018-12-01,319,14840
4982.09,2019-01-01,304,15043
3765.44,2019-02-01,241,11362
4020.63,2019-03-01,241,12131
3449.22,2019-04-01,221,10406
3184.31,2019-05-01,208,9608
2775.73,2019-06-01,180,8372
2852.75,2019-07-01,168,8602
2593.61,2019-08-01,162,7833
2756.16,2019-09-01,164,8322
2874.33,2019-10-01,183,8677
2700.94,2019-11-01,169,8148
2361.94,2019-12-01,146,7124
2511.37,2020-01-01,151,7574
1873.03,2020-02-01,119,5642
1961.84,2020-03-01,119,5922
1754.38,2020-04-01,107,5290
1171.86,2020-05-01,76,3534
968.31,2020-06-01,62,2920
832.37,2020-07-01,56,2510
521.72,2020-08-01,31,1572
528.81,2020-09-01,35,1596
593.4,2020-10-01,39,1792
492.45,2020-11-01,32,1484
459.91,2020-12-01,28,1386
531.9,2021-01-01,32,1603
553.05,2021-02-01,37,1666
708.2,2021-03-01,49,2135
694.8,2021-04-01,40,2093
650.91,2021-05-01,37,1960
840.98,2021-06-01,50,2534
