actual_cost,date,items,quantity
34882.33,2016-07-01,1173,46344
45181.23,2016-08-01,1561,60030
57862.79,2016-09-01,1922,76921
66535.63,2016-10-01,2267,88486
82584.69,2016-11-01,2803,109748
98743.49,2016-12-01,3403,131294
100052.97,2017-01-01,3448,132896
101618.88,2017-02-01,3449,134916
123317.49,2017-03-01,4159,163980
111040.49,2017-04-01,3882,147441
119685.77,2017-05-01,4289,159038
123756.82,2017-06-01,4367,164624
112371.28,2017-07-01,4148,149440
78251,2017-08-01,3021,103924
5746.87,2017-09-01,2288,80599
15451.91,2017-10-01,1817,66353
9968.18,2017-11-01,1544,59954
7988.83,2017-12-01,1422,53276
7723.61,2018-01-01,1395,51496
6543.23,2018-02-01,1170,43587
5244.85,2018-03-01,1306,47928
5812.6,2018-04-01,1110,40862
5366.75,2018-05-01,1052,37714
4418.79,2018-06-01,860,31042
2519.55,2018-07-01,759,27056
1722.47,2018-08-01,557,18460
389.01,2018-09-01,105,4193
214.82,2018-10-01,64,2310
135.27,2018-11-01,38,1456
69.5,2018-12-01,23,742
58.44,2019-01-01,16,632
58.82,2019-02-01,17,630
28.72,2019-03-01,8,308
28.85,2019-04-01,10,308
14.42,2019-05-01,5,154
23.73,2019-06-01,9,252
4.19,2019-07-01,3,42
4.18,2019-08-01,3,42
9.76,2019-09-01,7,98
4.18,2019-10-01,3,42
8.37,2019-11-01,6,84
5.58,2019-12-01,4,56
5.13,2020-01-01,1,56
4.19,2020-02-01,3,42
5.58,2020-03-01,4,56
6.98,2020-04-01,5,70
8.37,2020-05-01,6,84
2.79,2020-06-01,2,28
11.15,2020-07-01,8,112
0,2020-08-01,0,0
0,2020-09-01,0,0
0,2020-10-01,0,0
0,2020-11-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,0,0
0,2021-03-01,0,0
0,2021-04-01,0,0
0,2021-05-01,0,0
0,2021-06-01,0,0
