actual_cost,date,items,quantity
39919.18,2016-07-01,1082,53444
59109.84,2016-08-01,1521,79154
69874.63,2016-09-01,1834,93603
80397.5,2016-10-01,2092,107751
87583.53,2016-11-01,2641,136822
112722.14,2016-12-01,3377,176196
130034.3,2017-01-01,3888,203041
147954.58,2017-02-01,4457,230908
205331.94,2017-03-01,6152,320962
202695.26,2017-04-01,6193,316410
246041.74,2017-05-01,7473,384399
175282.95,2017-06-01,8283,424061
185545.14,2017-07-01,8815,448924
146527.68,2017-08-01,7184,354038
91472.12,2017-09-01,4849,221066
26100.84,2017-10-01,3510,157475
24399.19,2017-11-01,3016,147174
19367.94,2017-12-01,2438,116429
17049.26,2018-01-01,2186,102449
12275.66,2018-02-01,1564,73566
11536.61,2018-03-01,1432,69175
9351.69,2018-04-01,1137,56299
8183.35,2018-05-01,1001,49297
6816.7,2018-06-01,794,41074
6493.66,2018-07-01,782,39078
5771.16,2018-08-01,718,34749
5001.1,2018-09-01,598,30132
5052.18,2018-10-01,597,30475
2507.01,2018-11-01,566,29988
2335.07,2018-12-01,510,27931
2256.62,2019-01-01,481,27011
1808.94,2019-02-01,396,21611
1971.84,2019-03-01,404,23593
1766.94,2019-04-01,375,21137
1583.61,2019-05-01,335,18949
1533.25,2019-06-01,300,18354
1485.72,2019-07-01,295,17772
1501,2019-08-01,289,17977
1443.26,2019-09-01,245,17320
1201.06,2019-10-01,214,14406
951.77,2019-11-01,186,11384
991.38,2019-12-01,177,11883
913.28,2020-01-01,163,10942
717.83,2020-02-01,138,8575
967.87,2020-03-01,156,11624
889.67,2020-04-01,162,10654
833.99,2020-05-01,146,10000
898.44,2020-06-01,149,10784
979.57,2020-07-01,176,11764
686.36,2020-08-01,139,8218
794.23,2020-09-01,147,9537
711.11,2020-10-01,137,8549
701.54,2020-11-01,128,8411
748.98,2020-12-01,128,8984
683.74,2021-01-01,123,8188
731.37,2021-02-01,126,8756
780.53,2021-03-01,153,9338
896.77,2021-04-01,152,10736
627.62,2021-05-01,117,7509
378.63,2021-06-01,78,4526
