actual_cost,date,items,quantity
0,2016-07-01,0,0
0,2016-08-01,0,0
0,2016-09-01,0,0
0,2016-10-01,0,0
0,2016-11-01,0,0
0,2016-12-01,0,0
0,2017-01-01,0,0
119.42,2017-02-01,2,112
59.62,2017-03-01,1,56
119.39,2017-04-01,2,112
119.29,2017-05-01,2,112
0,2017-06-01,0,0
0,2017-07-01,0,0
178.93,2017-08-01,3,168
119.21,2017-09-01,2,112
119.09,2017-10-01,1,112
119.28,2017-11-01,1,112
179.01,2017-12-01,2,168
119.36,2018-01-01,1,112
179.28,2018-02-01,2,168
119.43,2018-03-01,1,112
179.27,2018-04-01,2,168
179.22,2018-05-01,2,168
209.2,2018-06-01,3,196
239.21,2018-07-01,2,224
119.48,2018-08-01,1,112
0,2018-09-01,0,0
208.9,2018-10-01,3,196
119.47,2018-11-01,1,112
179.3,2018-12-01,2,168
179.29,2019-01-01,2,168
119.59,2019-02-01,1,112
0,2019-03-01,0,0
119.65,2019-04-01,1,112
179.39,2019-05-01,2,168
205.16,2019-06-01,3,192
59.85,2019-07-01,1,56
0,2019-08-01,0,0
29.9,2019-09-01,1,28
0,2019-10-01,0,0
0,2019-11-01,0,0
0,2019-12-01,0,0
0,2020-01-01,0,0
59.93,2020-02-01,1,56
0,2020-03-01,0,0
0,2020-04-01,0,0
0,2020-05-01,0,0
0,2020-06-01,0,0
0,2020-07-01,0,0
0,2020-08-01,0,0
0,2020-09-01,0,0
0,2020-10-01,0,0
0,2020-11-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,0,0
0,2021-03-01,0,0
0,2021-04-01,0,0
0,2021-05-01,0,0
0,2021-06-01,0,0
