actual_cost,date,items,quantity
60469.67,2016-07-01,2201,80880
68306.37,2016-08-01,2617,91288
84737.2,2016-09-01,3276,113364
101873.98,2016-10-01,3931,136357
115325.67,2016-11-01,5067,179905
165339.46,2016-12-01,7073,258050
201331.06,2017-01-01,8650,313979
240054.27,2017-02-01,10237,374200
334958.54,2017-03-01,13939,523030
351429.12,2017-04-01,14511,548046
410884.1,2017-05-01,16884,641331
297315.47,2017-06-01,18616,718446
317419.15,2017-07-01,19985,766968
272818.78,2017-08-01,17706,658114
219331.79,2017-09-01,14081,529672
75442.27,2017-10-01,12220,454400
61523.65,2017-11-01,9928,369790
52981.16,2017-12-01,8496,318551
47812.79,2018-01-01,7680,287396
33824.76,2018-02-01,5461,203021
31397.46,2018-03-01,5126,188578
26064.17,2018-04-01,4171,156470
22254.2,2018-05-01,3664,133565
19804.88,2018-06-01,3198,118860
18011.55,2018-07-01,3013,107977
17100.36,2018-08-01,2846,102609
13737.13,2018-09-01,2275,82427
13244.87,2018-10-01,2183,79571
10653.34,2018-11-01,1910,70731
10574.53,2018-12-01,1839,70215
10041.11,2019-01-01,1756,66681
8410.04,2019-02-01,1493,55808
8572.94,2019-03-01,1474,56898
6612,2019-04-01,1207,43839
5245.95,2019-05-01,923,34810
3684.09,2019-06-01,676,24410
3131.61,2019-07-01,550,20759
2587.64,2019-08-01,470,17166
2022.86,2019-09-01,365,13415
2282.73,2019-10-01,378,15175
1765.74,2019-11-01,307,11719
1815.85,2019-12-01,310,12057
1814.84,2020-01-01,279,12074
1572.47,2020-02-01,246,10451
1708.98,2020-03-01,260,11381
1800.56,2020-04-01,271,11980
1599.14,2020-05-01,248,10645
1634.89,2020-06-01,246,10891
1584.65,2020-07-01,251,10557
1438.03,2020-08-01,217,9573
1454.43,2020-09-01,235,9686
1455.37,2020-10-01,224,9704
1485.39,2020-11-01,228,9886
1460.31,2020-12-01,230,9718
1428.52,2021-01-01,228,9494
1359.85,2021-02-01,212,9038
1611.84,2021-03-01,254,10714
1647.58,2021-04-01,256,10950
1505.12,2021-05-01,246,9991
1550.6,2021-06-01,248,10304
