actual_cost,date,items,quantity
12949.59,2016-07-01,392,17188
17067.26,2016-08-01,519,22656
21935.11,2016-09-01,662,29129
23381.48,2016-10-01,742,31061
30604.56,2016-11-01,945,40631
38021.15,2016-12-01,1198,50505
37916.91,2017-01-01,1177,50290
38178.63,2017-02-01,1172,50642
46873.58,2017-03-01,1374,62281
44339.48,2017-04-01,1336,58832
46988.53,2017-05-01,1409,62401
46772.6,2017-06-01,1424,62171
42479.78,2017-07-01,1288,56463
27558.79,2017-08-01,910,36575
1243.21,2017-09-01,693,29641
4006.34,2017-10-01,585,23929
2596.55,2017-11-01,468,19274
2333.66,2017-12-01,402,17336
2216.87,2018-01-01,395,16729
1891.42,2018-02-01,339,14254
920.68,2018-03-01,365,13721
955.29,2018-04-01,320,12584
564.7,2018-05-01,262,9969
518.75,2018-06-01,227,9513
603.35,2018-07-01,178,6709
437.13,2018-08-01,116,4884
145.47,2018-09-01,37,1628
41.89,2018-10-01,11,469
31.96,2018-11-01,4,364
22.65,2018-12-01,6,252
46.96,2019-01-01,7,532
5,2019-02-01,1,56
10,2019-03-01,2,112
0,2019-04-01,0,0
0,2019-05-01,0,0
15,2019-06-01,3,168
0,2019-07-01,0,0
0,2019-08-01,0,0
0,2019-09-01,0,0
0,2019-10-01,0,0
0,2019-11-01,0,0
0,2019-12-01,0,0
0,2020-01-01,0,0
0,2020-02-01,0,0
0,2020-03-01,0,0
0,2020-04-01,0,0
0,2020-05-01,0,0
0,2020-06-01,0,0
0,2020-07-01,0,0
0,2020-08-01,0,0
0,2020-09-01,0,0
0,2020-10-01,0,0
0,2020-11-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,0,0
0,2021-03-01,0,0
0,2021-04-01,0,0
0,2021-05-01,0,0
0,2021-06-01,0,0
