actual_cost,date,items,quantity
47402.1,2016-07-01,1282,63387
56935,2016-08-01,1558,76141
75579.03,2016-09-01,2019,101119
85378.26,2016-10-01,2368,114281
95870.29,2016-11-01,3057,149542
119718.55,2016-12-01,3896,186835
139080.04,2017-01-01,4431,216842
158494.8,2017-02-01,5133,246976
219721.65,2017-03-01,7123,342908
228529.69,2017-04-01,7437,356184
276427.25,2017-05-01,8813,431241
230471.56,2017-06-01,9583,463635
249765.63,2017-07-01,10452,502318
219834.98,2017-08-01,9323,441608
180114.69,2017-09-01,7542,362147
47266.13,2017-10-01,6434,303539
38475.15,2017-11-01,5276,246826
33859.09,2017-12-01,4581,217147
29731.4,2018-01-01,3946,190686
22024.09,2018-02-01,2891,141113
20602.23,2018-03-01,2706,132098
17507.41,2018-04-01,2176,112275
14862.61,2018-05-01,1866,95351
13060.86,2018-06-01,1603,83788
11695.6,2018-07-01,1527,74906
10961.94,2018-08-01,1401,70291
8930.68,2018-09-01,1168,57266
8448.93,2018-10-01,1079,54261
3697.41,2018-11-01,957,46772
3388.27,2018-12-01,861,42869
3234.85,2019-01-01,805,40941
2793.32,2019-02-01,689,35372
2900.93,2019-03-01,697,36739
2649.8,2019-04-01,662,33551
2806.73,2019-05-01,670,35561
2230.67,2019-06-01,547,28238
2489.2,2019-07-01,587,31521
2128.34,2019-08-01,509,26978
1963.71,2019-09-01,427,24965
1784.3,2019-10-01,393,22671
1414.19,2019-11-01,300,17968
1515.55,2019-12-01,334,19242
1529.13,2020-01-01,317,19435
1347.95,2020-02-01,279,17121
1381.46,2020-03-01,285,17567
1293.81,2020-04-01,272,16443
1215.12,2020-05-01,264,15431
1276.58,2020-06-01,280,16226
1348.89,2020-07-01,286,17157
1176.93,2020-08-01,237,14965
1269.2,2020-09-01,258,16174
1294.06,2020-10-01,263,16497
1168.01,2020-11-01,248,14852
1331.42,2020-12-01,267,16941
1344.05,2021-01-01,259,17118
1142.8,2021-02-01,242,14519
1284.72,2021-03-01,262,16371
1364.82,2021-04-01,282,17408
1246.42,2021-05-01,269,15886
969.73,2021-06-01,210,12345
