actual_cost,date,items,quantity
27220.63,2016-07-01,849,36383
32150.81,2016-08-01,1047,42971
41738.92,2016-09-01,1310,55815
48071.62,2016-10-01,1519,64313
51881.05,2016-11-01,1921,80876
72979.97,2016-12-01,2621,113827
83719.72,2017-01-01,3084,130455
96100.9,2017-02-01,3522,149684
138362.45,2017-03-01,4937,215872
139510.9,2017-04-01,5077,217359
168170.96,2017-05-01,6028,262253
145009.44,2017-06-01,6588,291609
153168.77,2017-07-01,6944,307936
129867.87,2017-08-01,6050,260822
101961.7,2017-09-01,4676,204944
27518.11,2017-10-01,4073,176667
23060.65,2017-11-01,3491,147749
19583.56,2017-12-01,2919,125444
17458.26,2018-01-01,2630,111792
13009.16,2018-02-01,1969,83207
12719.01,2018-03-01,1910,81437
10069.2,2018-04-01,1569,64397
9265.09,2018-05-01,1429,59264
7572.94,2018-06-01,1165,48429
7176.71,2018-07-01,1089,45885
6638.37,2018-08-01,998,42494
5506.09,2018-09-01,859,35220
5352.4,2018-10-01,857,34263
2870.77,2018-11-01,710,28271
2760.2,2018-12-01,664,27194
2711.1,2019-01-01,642,26718
2427.48,2019-02-01,566,23926
2384.44,2019-03-01,582,23466
2154.95,2019-04-01,476,21257
2297.47,2019-05-01,505,22689
1802.83,2019-06-01,433,17738
1414.45,2019-07-01,379,13859
1042.48,2019-08-01,318,10167
639.76,2019-09-01,181,6260
729.9,2019-10-01,175,7181
618.13,2019-11-01,129,6099
656.22,2019-12-01,136,6477
599.36,2020-01-01,136,5902
484.72,2020-02-01,119,4763
479.46,2020-03-01,109,4731
530.18,2020-04-01,112,5235
445.49,2020-05-01,100,4392
479.12,2020-06-01,95,4744
508.44,2020-07-01,104,5040
492.02,2020-08-01,102,4872
516.47,2020-09-01,108,5114
552.41,2020-10-01,110,5489
484.86,2020-11-01,99,4806
460.69,2020-12-01,100,4556
533.68,2021-01-01,101,5293
450.77,2021-02-01,92,4457
563.92,2021-03-01,114,5586
685.96,2021-04-01,133,6804
613.4,2021-05-01,115,6089
582.14,2021-06-01,122,5768
