actual_cost,date,items,quantity
24477.11,2016-07-01,615,32504
31131.42,2016-08-01,796,41347
40772.18,2016-09-01,1034,54171
46439.63,2016-10-01,1251,61727
56540.24,2016-11-01,1617,75078
67813.73,2016-12-01,1903,90112
72198.49,2017-01-01,1989,95841
72822.74,2017-02-01,2046,96619
87842.23,2017-03-01,2428,116731
80837.73,2017-04-01,2208,107288
88416.06,2017-05-01,2455,117410
89046.44,2017-06-01,2474,118390
81113.77,2017-07-01,2286,107837
56429.21,2017-08-01,1663,74832
1967.44,2017-09-01,1213,55002
6981.88,2017-10-01,994,46404
4291.63,2017-11-01,814,40216
4337.19,2017-12-01,668,32406
2998.13,2018-01-01,580,28073
2696.99,2018-02-01,518,25213
1739.38,2018-03-01,511,23908
1378.42,2018-04-01,459,21984
1141.38,2018-05-01,394,18169
1038.58,2018-06-01,347,16559
1152.45,2018-07-01,282,13130
892.22,2018-08-01,232,10164
224.3,2018-09-01,72,2540
152.09,2018-10-01,44,1731
102.99,2018-11-01,26,1176
72.75,2018-12-01,19,826
48.78,2019-01-01,11,560
41.91,2019-02-01,11,476
24.79,2019-03-01,8,280
24.25,2019-04-01,4,280
36.36,2019-05-01,6,420
12.12,2019-06-01,2,140
7.2,2019-07-01,1,84
0,2019-08-01,0,0
0,2019-09-01,0,0
0,2019-10-01,0,0
0,2019-11-01,0,0
0,2019-12-01,0,0
0,2020-01-01,0,0
0,2020-02-01,0,0
0,2020-03-01,0,0
0,2020-04-01,0,0
0,2020-05-01,0,0
0,2020-06-01,0,0
0,2020-07-01,0,0
0,2020-08-01,0,0
0,2020-09-01,0,0
0,2020-10-01,0,0
0,2020-11-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,0,0
0,2021-03-01,0,0
0,2021-04-01,0,0
0,2021-05-01,0,0
0,2021-06-01,0,0
