actual_cost,date,items,quantity
32819.95,2016-07-01,569,83437
32729.27,2016-08-01,560,83218
32869.99,2016-09-01,594,83601
31817.63,2016-10-01,555,80969
31401.45,2016-11-01,560,79844
34264.95,2016-12-01,587,87188
30050.71,2017-01-01,531,76378
28833.69,2017-02-01,489,73254
28799.1,2017-03-01,524,73272
30213.62,2017-04-01,512,76780
32060.35,2017-05-01,543,81538
33144.94,2017-06-01,565,84386
32592.39,2017-07-01,522,82980
35315.7,2017-08-01,611,89815
37378.71,2017-09-01,649,95137
37820.49,2017-10-01,667,96358
37277.04,2017-11-01,654,94817
42118.55,2017-12-01,784,107095
39286.43,2018-01-01,732,99868
31342.45,2018-02-01,584,79561
35625.62,2018-03-01,603,90507
34173.85,2018-04-01,585,86749
30435.95,2018-05-01,517,77272
30669.2,2018-06-01,529,77838
30894.95,2018-07-01,515,78364
33191.89,2018-08-01,569,84275
30275.65,2018-09-01,522,76853
29502.87,2018-10-01,522,74972
31035.25,2018-11-01,533,78800
33281.92,2018-12-01,555,84468
32808.88,2019-01-01,562,83268
27583.6,2019-02-01,488,69965
27492.12,2019-03-01,513,69688
28026.2,2019-04-01,487,71039
27173.14,2019-05-01,515,68898
27550.81,2019-06-01,465,69816
28022.28,2019-07-01,512,70998
29792.4,2019-08-01,553,75569
28289.9,2019-09-01,517,71764
29085.76,2019-10-01,553,73775
30743,2019-11-01,580,77913
31014.24,2019-12-01,587,78588
30386.49,2020-01-01,573,76974
27622.03,2020-02-01,541,69897
34528.74,2020-03-01,647,87554
28569.76,2020-04-01,567,72389
28794.57,2020-05-01,538,72970
29499.17,2020-06-01,561,74794
30317.86,2020-07-01,555,76873
26710.9,2020-08-01,488,67664
28603.11,2020-09-01,529,72545
31070.73,2020-10-01,567,78836
27873.3,2020-11-01,522,70579
31137.57,2020-12-01,564,78862
20158.8,2021-01-01,396,51005
30747.82,2021-02-01,551,77754
29368.77,2021-03-01,542,74331
30032.49,2021-04-01,547,75935
27240.23,2021-05-01,476,68848
27091.06,2021-06-01,501,68503
