actual_cost,date,items,quantity
268.49,2016-07-01,1,252
268.46,2016-08-01,1,252
268.36,2016-09-01,1,252
89.4,2016-10-01,1,84
447.37,2016-11-01,3,420
208.77,2016-12-01,2,196
0,2017-01-01,0,0
89.57,2017-02-01,1,84
357.89,2017-03-01,4,336
89.54,2017-04-01,1,84
59.75,2017-05-01,1,56
119.37,2017-06-01,2,112
119.27,2017-07-01,2,112
89.47,2017-08-01,2,84
409.92,2017-09-01,7,385
119.08,2017-10-01,2,112
0,2017-11-01,0,0
89.5,2017-12-01,1,84
209.02,2018-01-01,3,196
0,2018-02-01,0,0
119.77,2018-03-01,3,112
89.87,2018-04-01,2,84
0,2018-05-01,0,0
0,2018-06-01,0,0
0,2018-07-01,0,0
0,2018-08-01,0,0
119.5,2018-09-01,2,112
298.44,2018-10-01,4,280
268.83,2018-11-01,3,252
239.07,2018-12-01,3,224
209.29,2019-01-01,3,196
89.7,2019-02-01,1,84
153.95,2019-03-01,2,144
59.94,2019-04-01,1,56
213.79,2019-05-01,3,200
184.13,2019-06-01,3,172
124.21,2019-07-01,2,116
188.22,2019-08-01,3,176
149.58,2019-09-01,2,140
59.9,2019-10-01,1,56
59.95,2019-11-01,1,56
59.96,2019-12-01,1,56
59.98,2020-01-01,1,56
60.05,2020-02-01,1,56
0,2020-03-01,0,0
0,2020-04-01,0,0
0,2020-05-01,0,0
0,2020-06-01,0,0
0,2020-07-01,0,0
0,2020-08-01,0,0
0,2020-09-01,0,0
0,2020-10-01,0,0
0,2020-11-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,0,0
0,2021-03-01,0,0
0,2021-04-01,0,0
0,2021-05-01,0,0
0,2021-06-01,0,0
