actual_cost,date,items,quantity
3467056.77,2016-05-01,62625,3253983
3647289.28,2016-06-01,66149,3419895
3542221.54,2016-07-01,64365,3321597
3564896.79,2016-08-01,65288,3343235
3549413.02,2016-09-01,64740,3329890
3370406.07,2016-10-01,62307,3163634
3465836.21,2016-11-01,63915,3250874
3482294.45,2016-12-01,63641,3268286
3248838.33,2017-01-01,59792,3045867
3002157.79,2017-02-01,55323,2813300
3391546.17,2017-03-01,62371,3183149
2950380.06,2017-04-01,54283,2765480
3184521.8,2017-05-01,58696,2987496
3160886.88,2017-06-01,58087,2968322
3140811.72,2017-07-01,57464,2949442
842292.9,2017-08-01,69159,3594438
522911.76,2017-09-01,76219,3988394
579902.6,2017-10-01,84953,4428787
552998.99,2017-11-01,89857,4678400
374335.32,2017-12-01,92129,4817498
342785,2018-01-01,95715,4981632
313387.46,2018-02-01,88029,4563638
350986.77,2018-03-01,98618,5114623
466079.74,2018-04-01,96887,5025953
493343.86,2018-05-01,102902,5336905
492630.11,2018-06-01,102015,5309603
360785.13,2018-07-01,104137,5400660
431267.16,2018-08-01,107762,5628623
405773.01,2018-09-01,101581,5302981
364856.36,2018-10-01,112136,5859439
316126.62,2018-11-01,109353,5707858
316847.38,2018-12-01,108451,5704995
293482.65,2019-01-01,112257,5886946
256888.39,2019-02-01,97449,5119129
275147.69,2019-03-01,105414,5527398
271922.14,2019-04-01,105057,5488041
291997.48,2019-05-01,112485,5956197
268154.29,2019-06-01,103544,5455424
263277.31,2019-07-01,107599,5663504
311137.12,2019-08-01,113009,5959313
289842.17,2019-09-01,105643,5577568
274622.59,2019-10-01,113112,5970778
262383.1,2019-11-01,107747,5695128
269824.48,2019-12-01,110502,5845806
258560.57,2020-01-01,113624,6034232
234438.28,2020-02-01,103476,5477873
266939.45,2020-03-01,115644,6229627
232991.99,2020-04-01,111150,5924504
226942.21,2020-05-01,106868,5751426
260491.11,2020-06-01,111042,5960801
257459.56,2020-07-01,115914,6235453
228936.49,2020-08-01,104287,5574679
249266.31,2020-09-01,113138,6086833
230695.73,2020-10-01,114253,6138931
220856.5,2020-11-01,109089,5871443
240058.13,2020-12-01,118439,6381054
532474.08,2021-01-01,109666,5919935
502237.87,2021-02-01,103892,5587066
563362.32,2021-03-01,116365,6259226
516752.97,2021-04-01,109396,5848020
