actual_cost,date,items,quantity
242529.48,2016-07-01,41677,3770187
354447.18,2016-08-01,42709,3845637
366053.62,2016-09-01,43681,3975255
312646.22,2016-10-01,42983,3878203
326553.74,2016-11-01,44379,4026097
341470.96,2016-12-01,46490,4244775
330700.03,2017-01-01,44125,3994478
307747.99,2017-02-01,41523,3727963
359148.37,2017-03-01,48223,4352030
277180.76,2017-04-01,43384,3911615
305192.53,2017-05-01,47498,4306549
308470.21,2017-06-01,48542,4365822
274292.33,2017-07-01,46548,4174009
258826.86,2017-08-01,48920,4394258
253807.53,2017-09-01,47546,4302420
301044.91,2017-10-01,48734,4394328
303640.29,2017-11-01,49093,4423532
239598.45,2017-12-01,49898,4516588
273105.26,2018-01-01,50175,4520925
246856.63,2018-02-01,45801,4091837
273493.33,2018-03-01,50693,4539327
271886.18,2018-04-01,49236,4395721
285717.02,2018-05-01,51807,4629022
280392.09,2018-06-01,50884,4549341
272169.78,2018-07-01,51876,4618008
326264.69,2018-08-01,53851,4823767
303576.42,2018-09-01,50290,4493899
342863.55,2018-10-01,55455,4964210
296013.74,2018-11-01,54433,4849961
297928.25,2018-12-01,54515,4875623
280991.71,2019-01-01,55795,4969063
242885.09,2019-02-01,48249,4294015
262935.53,2019-03-01,52774,4648148
268198.72,2019-04-01,53557,4670383
284229.01,2019-05-01,56668,4945052
262576.01,2019-06-01,52376,4579434
287474.56,2019-07-01,54510,4734806
340552.44,2019-08-01,57645,5032302
314917.67,2019-09-01,53580,4659508
343153.82,2019-10-01,57288,4978330
326574.82,2019-11-01,54539,4732780
336813.1,2019-12-01,56171,4880182
372360.84,2020-01-01,57074,4947659
338372.21,2020-02-01,51787,4489956
963820.18,2020-03-01,57886,5077829
985379.8,2020-04-01,56085,4899532
618233.18,2020-05-01,53129,4639624
428496.76,2020-06-01,55225,4821301
438177.29,2020-07-01,57511,5014439
395386.65,2020-08-01,52012,4522708
424862.82,2020-09-01,55817,4867718
521195.82,2020-10-01,56416,4917037
496009.58,2020-11-01,53635,4669244
542528.92,2020-12-01,58487,5108291
407163.98,2021-01-01,53904,4705606
383471.82,2021-02-01,50905,4427020
428282.82,2021-03-01,56888,4950419
355557.82,2021-04-01,55243,4799022
339702.61,2021-05-01,52586,4584525
358817.32,2021-06-01,55883,4848254
