actual_cost,date,items,quantity
239.12,2016-07-01,7,224
179.43,2016-08-01,6,168
179.37,2016-09-01,6,168
74.62,2016-10-01,2,70
269.56,2016-11-01,12,252
89.65,2016-12-01,3,84
224.58,2017-01-01,9,210
179.57,2017-02-01,6,168
238.92,2017-03-01,7,224
104.81,2017-04-01,4,98
194.4,2017-05-01,7,182
179.18,2017-06-01,6,168
119.63,2017-07-01,5,112
835.5,2017-08-01,19,784
1059.14,2017-09-01,24,994
729.99,2017-10-01,16,686
522.57,2017-11-01,14,490
719.69,2017-12-01,14,675
686.5,2018-01-01,11,644
567.78,2018-02-01,8,532
791.76,2018-03-01,15,742
1105.85,2018-04-01,18,1036
238.98,2018-05-01,4,224
597.74,2018-06-01,7,560
463.54,2018-07-01,9,434
418.22,2018-08-01,7,392
537.83,2018-09-01,7,504
537.24,2018-10-01,9,504
687.09,2018-11-01,13,644
747.19,2018-12-01,10,700
485.8,2019-01-01,10,455
405.79,2019-02-01,6,380
358.98,2019-03-01,6,336
762.85,2019-04-01,13,714
897.03,2019-05-01,15,840
897.64,2019-06-01,15,840
570.89,2019-07-01,11,534
358.71,2019-08-01,6,336
209.41,2019-09-01,4,196
179.39,2019-10-01,3,168
119.7,2019-11-01,2,112
0,2019-12-01,0,0
59.88,2020-01-01,1,56
59.95,2020-02-01,1,56
0,2020-03-01,0,0
0,2020-04-01,0,0
0,2020-05-01,0,0
0,2020-06-01,0,0
0,2020-07-01,0,0
0,2020-08-01,0,0
0,2020-09-01,0,0
0,2020-10-01,0,0
0,2020-11-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,0,0
0,2021-03-01,0,0
0,2021-04-01,0,0
0,2021-05-01,0,0
0,2021-06-01,0,0
