actual_cost,date,items,quantity
7266.53,2016-05-01,116,15979
8511.28,2016-06-01,120,18701
8804.47,2016-07-01,134,19344
8269.31,2016-08-01,116,18172
7174.29,2016-09-01,112,15772
8690.19,2016-10-01,127,19113
7316.4,2016-11-01,117,16078
9073.48,2016-12-01,134,19953
7288.53,2017-01-01,109,16013
7985.59,2017-02-01,116,17534
8028.99,2017-03-01,128,17656
7823.42,2017-04-01,117,17182
7470.35,2017-05-01,112,16422
9369.65,2017-06-01,133,20619
7624.24,2017-07-01,109,16776
8313.85,2017-08-01,124,18272
8202.07,2017-09-01,124,18040
7915.56,2017-10-01,121,17426
8101.18,2017-11-01,119,17805
8718.96,2017-12-01,137,19155
7783.03,2018-01-01,128,17094
5908.93,2018-02-01,98,12960
8011.34,2018-03-01,120,17586
7458.82,2018-04-01,109,16361
7847.48,2018-05-01,124,17217
6867.99,2018-06-01,119,15059
7232.15,2018-07-01,116,15851
7824.1,2018-08-01,126,17165
7226.39,2018-09-01,108,15854
7060.51,2018-10-01,114,15504
7532.7,2018-11-01,123,16527
7187.07,2018-12-01,121,15760
6225.17,2019-01-01,104,13651
5380.9,2019-02-01,101,11790
7324.49,2019-03-01,122,16047
7153.87,2019-04-01,116,15671
7741.9,2019-05-01,119,16969
6083.97,2019-06-01,102,13323
6408.34,2019-07-01,105,14030
7581.66,2019-08-01,118,16621
6397.21,2019-09-01,107,14022
6958.27,2019-10-01,126,15248
7151.51,2019-11-01,114,15663
6102.23,2019-12-01,107,13360
7382.77,2020-01-01,124,16159
6019.96,2020-02-01,106,13162
7534.9,2020-03-01,131,16507
7208.24,2020-04-01,111,15784
5950.93,2020-05-01,110,13029
7191.74,2020-06-01,110,15758
6069.97,2020-07-01,106,13299
6985.22,2020-08-01,116,15290
6686.69,2020-09-01,112,14654
7163.24,2020-10-01,123,15705
5738.52,2020-11-01,106,12554
7203.39,2020-12-01,120,15765
5762.55,2021-01-01,108,12598
6838.63,2021-02-01,109,14944
6279.46,2021-03-01,115,13731
7027.58,2021-04-01,117,15355
