actual_cost,date,items,quantity
29.95,2016-07-01,1,28
179.19,2016-08-01,2,168
464.73,2016-09-01,5,436
149.24,2016-10-01,2,140
494.57,2016-11-01,4,464
643.49,2016-12-01,6,604
268.86,2017-01-01,4,252
149.59,2017-02-01,3,140
134.35,2017-03-01,2,126
179.3,2017-04-01,3,168
464.77,2017-05-01,4,436
447.05,2017-06-01,7,420
660.1,2017-07-01,4,620
963.88,2017-08-01,19,904
1160.96,2017-09-01,19,1090
1663.72,2017-10-01,23,1564
1190.27,2017-11-01,13,1117
418.02,2017-12-01,6,392
686.91,2018-01-01,12,644
448.57,2018-02-01,7,420
771.45,2018-03-01,10,723
1228.49,2018-04-01,17,1150
448.65,2018-05-01,8,420
1217.39,2018-06-01,9,1140
837.5,2018-07-01,11,784
734.43,2018-08-01,7,688
627.74,2018-09-01,8,588
1422.31,2018-10-01,14,1334
1498.34,2018-11-01,18,1404
822.06,2018-12-01,15,770
1300.28,2019-01-01,23,1218
314.19,2019-02-01,9,294
825.19,2019-03-01,11,772
149.7,2019-04-01,5,140
418.95,2019-05-01,8,392
209.46,2019-06-01,5,196
658.45,2019-07-01,10,616
762.5,2019-08-01,16,714
358.86,2019-09-01,11,336
508.6,2019-10-01,12,476
94.15,2019-11-01,2,88
311.16,2019-12-01,9,291
184.02,2020-01-01,5,172
184.22,2020-02-01,5,172
248.03,2020-03-01,6,232
154.04,2020-04-01,4,144
213.88,2020-05-01,6,200
183.85,2020-06-01,5,172
119.64,2020-07-01,4,112
184.02,2020-08-01,5,172
183.79,2020-09-01,5,172
247.87,2020-10-01,6,232
0,2020-11-01,0,0
128.54,2020-12-01,2,120
64.32,2021-01-01,1,60
0,2021-02-01,0,0
128.62,2021-03-01,2,120
0,2021-04-01,0,0
64.4,2021-05-01,1,60
0,2021-06-01,0,0
