actual_cost,date,items,quantity
1443876.7,2016-07-01,25564,1353862
1461389.43,2016-08-01,26187,1370469
1470312.23,2016-09-01,26198,1379343
1427462.9,2016-10-01,25598,1339908
1465397.33,2016-11-01,26124,1374372
1512487.67,2016-12-01,26880,1419427
1374911.68,2017-01-01,24745,1288958
1269746.53,2017-02-01,22628,1189647
1398664.96,2017-03-01,24962,1312339
1245320.98,2017-04-01,22053,1167064
1326443.33,2017-05-01,23536,1244300
1304599.38,2017-06-01,23212,1224976
1106531.49,2017-07-01,19827,1039022
671339.2,2017-08-01,12421,629600
423053.66,2017-09-01,7938,397029
311922.96,2017-10-01,5712,293033
246204.17,2017-11-01,4454,230927
206390.93,2017-12-01,3644,193508
178320.02,2018-01-01,3189,167148
145903.15,2018-02-01,2571,136575
143606.35,2018-03-01,2564,134533
131821.83,2018-04-01,2330,123402
124839.67,2018-05-01,2119,116909
113927.9,2018-06-01,1919,106640
107661.73,2018-07-01,1799,100717
105035.07,2018-08-01,1739,98363
96052.86,2018-09-01,1603,89935
94263.48,2018-10-01,1573,88355
87642.51,2018-11-01,1406,82082
89262.95,2018-12-01,1399,83564
83142.73,2019-01-01,1389,77829
71243.7,2019-02-01,1137,66661
71922.32,2019-03-01,1182,67264
66537.27,2019-04-01,1116,62222
65343.99,2019-05-01,1070,61136
59881.6,2019-06-01,971,55987
61831.55,2019-07-01,991,57797
64312.57,2019-08-01,1017,60191
56847.32,2019-09-01,921,53200
60570.37,2019-10-01,959,56683
55028.57,2019-11-01,887,51452
57344.21,2019-12-01,919,53608
56557.42,2020-01-01,900,52856
50699.6,2020-02-01,799,47330
58504.02,2020-03-01,908,54731
50136.07,2020-04-01,803,46865
47817.15,2020-05-01,770,44703
51989.75,2020-06-01,813,48631
54067.75,2020-07-01,868,50579
48206.94,2020-08-01,793,45049
49990.27,2020-09-01,808,46776
50963.33,2020-10-01,823,47706
48405.98,2020-11-01,767,45220
52064.96,2020-12-01,821,48652
45993.59,2021-01-01,732,42941
47434.54,2021-02-01,737,44255
54705.7,2021-03-01,847,51085
52750.84,2021-04-01,825,49212
48045.51,2021-05-01,745,44807
49881.3,2021-06-01,809,46543
