actual_cost,date,items,quantity
3186114.14,2016-07-01,61772,2987257
3202629.53,2016-08-01,62680,3003026
3226472.82,2016-09-01,62798,3026559
3088908.86,2016-10-01,60479,2898991
3153755.1,2016-11-01,61632,2957665
3200266.07,2016-12-01,62213,3003138
2988519.24,2017-01-01,58456,2801453
2735323.19,2017-02-01,53423,2562785
3093546.37,2017-03-01,60401,2902921
2686249.71,2017-04-01,52698,2517439
2902087.48,2017-05-01,56527,2722029
2834473.27,2017-06-01,55593,2661360
2883713.36,2017-07-01,56046,2707441
1154420.44,2017-08-01,70900,3470089
549863.83,2017-09-01,77956,3834021
605457.51,2017-10-01,86512,4228098
617318.35,2017-11-01,90352,4400741
286427.99,2017-12-01,92495,4506715
372866.11,2018-01-01,95906,4668309
257399.98,2018-02-01,88033,4282957
280388.64,2018-03-01,98867,4809146
475153.24,2018-04-01,96932,4731819
503544.71,2018-05-01,103264,5019168
494072.22,2018-06-01,101109,4922179
351614.3,2018-07-01,103925,5047237
415633.31,2018-08-01,108207,5227719
392205.72,2018-09-01,101459,4927076
365575.16,2018-10-01,112107,5444845
317235.8,2018-11-01,109113,5302986
319942.25,2018-12-01,109697,5362284
317210.31,2019-01-01,112894,5529395
275513.19,2019-02-01,97937,4788467
298426.12,2019-03-01,107011,5203951
326151.38,2019-04-01,106062,5138082
341859.87,2019-05-01,111116,5401719
321504.87,2019-06-01,103833,5073415
297173.91,2019-07-01,108114,5268975
348730.42,2019-08-01,113904,5557246
326739.49,2019-09-01,106549,5208658
359134.19,2019-10-01,114697,5619656
343565.73,2019-11-01,109353,5356383
353504.61,2019-12-01,112951,5519916
300960.52,2020-01-01,115003,5646078
273563.08,2020-02-01,104526,5133916
309564.92,2020-03-01,115905,5812404
291844.71,2020-04-01,112551,5572329
281053.75,2020-05-01,107829,5381629
322700.89,2020-06-01,112408,5587928
334165.61,2020-07-01,116768,5810828
302623.14,2020-08-01,106386,5265569
324772.63,2020-09-01,114032,5668773
296302.79,2020-10-01,115401,5735088
285253.18,2020-11-01,111007,5511939
310302.59,2020-12-01,120499,5996832
355825.49,2021-01-01,111291,5546191
282340.86,2021-02-01,106050,5273252
374841.26,2021-03-01,119495,5938851
421136.25,2021-04-01,116020,5755511
464605.25,2021-05-01,110544,5487892
469666.57,2021-06-01,117490,5851011
