actual_cost,date,items,quantity
9145.47,2016-05-01,108,11642
9323.69,2016-06-01,113,11856
8699,2016-07-01,117,11062
8760.81,2016-08-01,109,11142
8638.78,2016-09-01,119,10989
9654.49,2016-10-01,122,12289
8878.3,2016-11-01,115,11292
9661.07,2016-12-01,129,12295
7429.68,2017-01-01,99,9445
7535.91,2017-02-01,98,9576
10038.97,2017-03-01,124,12777
7699.55,2017-04-01,105,9786
9836.32,2017-05-01,121,12513
9471.1,2017-06-01,119,12061
8706.37,2017-07-01,106,11087
10350.43,2017-08-01,114,13166
10272.21,2017-09-01,127,13077
11814.88,2017-10-01,142,15055
11312.45,2017-11-01,137,14392
12870.42,2017-12-01,160,16367
11239.23,2018-01-01,138,14290
10845.2,2018-02-01,141,13769
10710.57,2018-03-01,137,13610
8674.03,2018-04-01,113,11012
8427.3,2018-05-01,120,10699
9183.57,2018-06-01,115,11657
8262.06,2018-07-01,114,10480
9642.05,2018-08-01,120,12244
7631.22,2018-09-01,101,9688
9258.19,2018-10-01,124,11765
8493.26,2018-11-01,114,10785
8956.03,2018-12-01,124,11367
8918.24,2019-01-01,116,11320
7478.99,2019-02-01,98,9488
7579.19,2019-03-01,112,9608
6687.79,2019-04-01,89,8478
7858.44,2019-05-01,113,9967
7160.65,2019-06-01,103,9074
8069.4,2019-07-01,114,10224
7824.55,2019-08-01,112,9926
8159.35,2019-09-01,111,10351
7603.12,2019-10-01,106,9645
8180.85,2019-11-01,111,10368
7522.42,2019-12-01,107,9532
8444.83,2020-01-01,127,10696
8353.73,2020-02-01,120,10571
9805.48,2020-03-01,142,12433
9744.83,2020-04-01,141,12349
9846.48,2020-05-01,147,12479
9320.64,2020-06-01,128,11819
10201.84,2020-07-01,138,12937
7963.89,2020-08-01,118,10087
9120.3,2020-09-01,124,11568
8693.52,2020-10-01,120,11030
7945.83,2020-11-01,117,10059
8687.71,2020-12-01,131,11001
9759.69,2021-01-01,134,12350
9526.9,2021-02-01,128,12047
9594.4,2021-03-01,131,12143
9707.67,2021-04-01,128,12275
