actual_cost,date,items,quantity
1246713.15,2016-07-01,25745,1168708
1275555.64,2016-08-01,26628,1195734
1306347.28,2016-09-01,27039,1224950
1269878.17,2016-10-01,26674,1191453
1306890.38,2016-11-01,27486,1225134
1352311.88,2016-12-01,28097,1268536
1237367.69,2017-01-01,26057,1159184
1140465.18,2017-02-01,23747,1068231
1281438.2,2017-03-01,26751,1201870
1131107.77,2017-04-01,23648,1059861
1195814.66,2017-05-01,25183,1121354
1192918.34,2017-06-01,24899,1119669
1016289.72,2017-07-01,21439,954083
585608.87,2017-08-01,12974,549072
364892.75,2017-09-01,7902,342382
262670.17,2017-10-01,5775,246697
207995.05,2017-11-01,4508,195039
167175.4,2017-12-01,3590,156698
150858.95,2018-01-01,3166,141380
121283.67,2018-02-01,2573,113502
127467.9,2018-03-01,2688,119389
110098.1,2018-04-01,2348,103042
109810.5,2018-05-01,2345,102802
103484.03,2018-06-01,2199,96831
99303.76,2018-07-01,2148,92867
98162.52,2018-08-01,2104,91895
85685.75,2018-09-01,1859,80198
90650.42,2018-10-01,1971,84937
84270.05,2018-11-01,1823,78887
84016.96,2018-12-01,1797,78616
82872.75,2019-01-01,1740,77551
69475.35,2019-02-01,1487,64978
71640.95,2019-03-01,1500,66979
69672.7,2019-04-01,1471,65134
71154.86,2019-05-01,1500,66552
61342.15,2019-06-01,1331,57332
68695.7,2019-07-01,1459,64189
66035.98,2019-08-01,1427,61778
61485.39,2019-09-01,1318,57518
64300.68,2019-10-01,1356,60149
60671.18,2019-11-01,1270,56706
63005.9,2019-12-01,1295,58881
60609.5,2020-01-01,1285,56620
54612.27,2020-02-01,1162,50961
62273.56,2020-03-01,1312,58234
58189.94,2020-04-01,1240,54373
54543.09,2020-05-01,1151,50971
57541.23,2020-06-01,1211,53802
60502.25,2020-07-01,1269,56577
53606.28,2020-08-01,1158,50077
57342.86,2020-09-01,1222,53635
55963.73,2020-10-01,1194,52367
55165.2,2020-11-01,1164,51515
59960.01,2020-12-01,1264,56006
54960.19,2021-01-01,1163,51292
48546.35,2021-02-01,1034,45271
50748.98,2021-03-01,1092,47369
55464.52,2021-04-01,1168,51725
50358.01,2021-05-01,1058,46945
53610.08,2021-06-01,1129,50008
