actual_cost,date,items,quantity
18858.88,2016-07-01,515,25064
25135.57,2016-08-01,674,33417
34959.15,2016-09-01,941,46496
39468.84,2016-10-01,1077,52517
47192.02,2016-11-01,1364,62686
54917.37,2016-12-01,1555,73053
56552.46,2017-01-01,1613,75145
58244.49,2017-02-01,1703,77352
70396.75,2017-03-01,1926,93589
61748.32,2017-04-01,1745,82030
67952.31,2017-05-01,1972,90340
69420.23,2017-06-01,1938,92396
61093.5,2017-07-01,1762,81298
40828.08,2017-08-01,1258,54253
1220.14,2017-09-01,833,37775
6428.84,2017-10-01,711,32254
3381.03,2017-11-01,581,26954
2764.71,2017-12-01,529,21994
2632.26,2018-01-01,449,20980
2075.96,2018-02-01,373,16511
1796.39,2018-03-01,357,16589
1817.23,2018-04-01,314,14368
923.23,2018-05-01,290,13091
770.1,2018-06-01,243,10930
928.53,2018-07-01,201,9467
615.67,2018-08-01,159,6242
198.49,2018-09-01,45,2021
191.6,2018-10-01,40,1955
127.87,2018-11-01,21,1316
92.7,2018-12-01,14,952
88.53,2019-01-01,14,910
86.12,2019-02-01,15,882
56.48,2019-03-01,13,574
45.42,2019-04-01,12,462
35.88,2019-05-01,10,364
16.32,2019-06-01,3,168
5.44,2019-07-01,1,56
5.43,2019-08-01,1,56
10.87,2019-09-01,2,112
0,2019-10-01,0,0
0,2019-11-01,0,0
0,2019-12-01,0,0
0,2020-01-01,0,0
0,2020-02-01,0,0
0,2020-03-01,0,0
0,2020-04-01,0,0
0,2020-05-01,0,0
0,2020-06-01,0,0
0,2020-07-01,0,0
0,2020-08-01,0,0
0,2020-09-01,0,0
0,2020-10-01,0,0
0,2020-11-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,0,0
0,2021-03-01,0,0
0,2021-04-01,0,0
0,2021-05-01,0,0
0,2021-06-01,0,0
