actual_cost,date,items,quantity
1282534.86,2016-05-01,312339,35140072
1214562.19,2016-06-01,327819,36810093
1062917.22,2016-07-01,321873,36264598
1084157.49,2016-08-01,329524,36992529
1106211.87,2016-09-01,335582,37746010
1018981.42,2016-10-01,326329,36623907
1057542.92,2016-11-01,339605,38005347
1101947.82,2016-12-01,350179,39615321
1008016.34,2017-01-01,332446,37273554
949372.78,2017-02-01,312875,35076626
1100000,2017-03-01,362585,40720817
917726.21,2017-04-01,326379,36705966
1000057.23,2017-05-01,356155,40040224
1013044.53,2017-06-01,361601,40578010
996066.47,2017-07-01,352528,39642236
5279079.66,2017-08-01,362239,40623622
5183799.5,2017-09-01,354432,39880395
5272793.58,2017-10-01,361785,40617825
2953329.24,2017-11-01,362479,40655121
1883194.52,2017-12-01,362284,41000739
2518138.18,2018-01-01,367025,41156414
1607630.24,2018-02-01,330430,37019773
1774840.29,2018-03-01,364220,40888023
3012195.12,2018-04-01,353506,39664551
3136554.64,2018-05-01,367973,41308230
3058861.2,2018-06-01,358738,40266196
1854704.34,2018-07-01,362250,40585731
2175158.22,2018-08-01,371319,41440243
2035339.38,2018-09-01,346868,38762471
1929960.39,2018-10-01,377362,41992003
1662605.68,2018-11-01,367186,40823510
1665024.65,2018-12-01,364934,40867977
1326955.62,2019-01-01,374329,41623804
1144525.78,2019-02-01,323881,35879974
1231066.24,2019-03-01,348969,38581817
1153158.57,2019-04-01,348188,38088634
1217293.33,2019-05-01,368656,40229325
1124469.82,2019-06-01,339694,37125752
1135040.24,2019-07-01,350590,38141568
1345430.47,2019-08-01,370919,40429152
1254802.73,2019-09-01,345692,37705133
1237148.77,2019-10-01,368934,40094181
1177024.12,2019-11-01,350312,38131909
1217696.13,2019-12-01,360762,39415340
1166191.32,2020-01-01,365629,39824803
1053782.46,2020-02-01,330934,35957091
1209007.33,2020-03-01,374596,41382699
1200546.94,2020-04-01,359260,39299048
1148275.75,2020-05-01,343079,37590926
1321210.36,2020-06-01,357020,39016522
1541398.14,2020-07-01,371284,40622494
1391887.07,2020-08-01,335784,36640427
1492940.12,2020-09-01,360775,39378745
1386032.99,2020-10-01,365130,39863993
1324233.46,2020-11-01,348840,38018341
1451190.81,2020-12-01,380314,41661250
1268032.74,2021-01-01,350301,38311153
1194199.88,2021-02-01,330235,36069209
1333958.86,2021-03-01,370771,40343076
1318510.42,2021-04-01,359715,39294908
