actual_cost,date,items,quantity
95105.78,2016-05-01,24369,2478872
90436.43,2016-06-01,25738,2616628
99801,2016-07-01,25287,2571137
99899.47,2016-08-01,25628,2577317
103076.51,2016-09-01,26211,2658494
108641.86,2016-10-01,25521,2576754
112477.38,2016-11-01,26376,2666898
117171.61,2016-12-01,27463,2777265
80777.2,2017-01-01,25697,2591574
75943.75,2017-02-01,24219,2440589
88744.33,2017-03-01,28341,2857257
73834.76,2017-04-01,25392,2543741
80563.56,2017-05-01,27525,2775055
81389.44,2017-06-01,27881,2808659
85726.55,2017-07-01,27419,2751963
78593.05,2017-08-01,27894,2786138
77747.82,2017-09-01,27337,2761529
315557.32,2017-10-01,28192,2818565
213622.87,2017-11-01,28535,2844747
193415.75,2017-12-01,28748,2890095
201520.52,2018-01-01,28785,2872090
111289.32,2018-02-01,26249,2599663
133413.72,2018-03-01,28578,2841384
157371.58,2018-04-01,28230,2797018
164066.55,2018-05-01,29036,2917111
160679.37,2018-06-01,28629,2854596
136084.11,2018-07-01,29122,2880415
161042.72,2018-08-01,30150,2970220
150483.81,2018-09-01,28035,2775785
126519,2018-10-01,30591,2991752
108890.2,2018-11-01,29674,2908828
109231.39,2018-12-01,29841,2912166
99958.11,2019-01-01,30453,2963487
86095.5,2019-02-01,26153,2539977
94738.88,2019-03-01,28796,2802570
103403.37,2019-04-01,28893,2789285
107847.9,2019-05-01,30107,2909007
101115.12,2019-06-01,28068,2728277
102158.27,2019-07-01,28894,2799645
120135.95,2019-08-01,30506,2955928
113031.51,2019-09-01,28642,2773378
107316.51,2019-10-01,30532,2955978
102134.41,2019-11-01,28991,2810724
106027.63,2019-12-01,29838,2916896
110576.95,2020-01-01,30272,2944465
100338.63,2020-02-01,27457,2669128
113756.23,2020-03-01,30935,3033656
104201.57,2020-04-01,30058,2932231
99123.22,2020-05-01,28628,2792343
113325.67,2020-06-01,29533,2869818
126778.17,2020-07-01,30901,2992587
114894.98,2020-08-01,28065,2710940
123577.38,2020-09-01,30249,2917179
114923.71,2020-10-01,30505,2952220
109614.61,2020-11-01,29112,2811977
119313.69,2020-12-01,31584,3055414
120731.55,2021-01-01,29286,2828499
113207.66,2021-02-01,27676,2648776
126917.89,2021-03-01,31182,2969586
121519.24,2021-04-01,30112,2886472
