actual_cost,date,items,quantity
328.26,2016-07-01,3,308
0,2016-08-01,0,0
149.09,2016-09-01,2,140
59.61,2016-10-01,1,56
104.52,2016-11-01,3,98
119.23,2016-12-01,2,112
149.41,2017-01-01,3,140
119.51,2017-02-01,2,112
208.86,2017-03-01,4,196
179.08,2017-04-01,3,168
119.28,2017-05-01,2,112
417.01,2017-06-01,3,392
74.49,2017-07-01,2,70
1125.91,2017-08-01,16,1057
1572.45,2017-09-01,32,1477
1444.03,2017-10-01,29,1358
864.98,2017-11-01,21,812
477.49,2017-12-01,15,448
511.57,2018-01-01,19,480
777.07,2018-02-01,17,728
1851.54,2018-03-01,26,1736
672.31,2018-04-01,13,630
313.79,2018-05-01,6,294
463.33,2018-06-01,9,434
418.62,2018-07-01,5,392
477.94,2018-08-01,7,448
478.02,2018-09-01,6,448
298.44,2018-10-01,4,280
716.88,2018-11-01,16,672
806.96,2018-12-01,11,756
388.48,2019-01-01,5,364
119.6,2019-02-01,2,112
871.94,2019-03-01,4,816
44.99,2019-04-01,2,42
0,2019-05-01,0,0
134.65,2019-06-01,3,126
867.9,2019-07-01,12,812
627.72,2019-08-01,10,588
358.74,2019-09-01,6,336
89.8,2019-10-01,2,84
30.04,2019-11-01,1,28
0,2019-12-01,0,0
0,2020-01-01,0,0
0,2020-02-01,0,0
30.02,2020-03-01,1,28
0,2020-04-01,0,0
0,2020-05-01,0,0
0,2020-06-01,0,0
0,2020-07-01,0,0
30.05,2020-08-01,1,28
30.01,2020-09-01,1,28
0,2020-10-01,0,0
0,2020-11-01,0,0
30.06,2020-12-01,1,28
0,2021-01-01,0,0
30.1,2021-02-01,1,28
149.93,2021-03-01,2,140
0,2021-04-01,0,0
180,2021-05-01,1,168
0,2021-06-01,0,0
